#	Time (UTC)	Reduced	Balance after	Reclass	Signature
0	(inbound)	ΓÇö	438362025.885	ΓÇö	ΓÇö
1	11:21:44	0 (no drop)	438362025.885	YES	43XqVRKx6vyx16Cr7jBR7iEn1bCdVs3J8QHAnKPLnJ4jc4SMgMVwZac8Wq4djTUHJSjTxtPrcLjAybM3uNQ2SLpP
2	11:21:46	0 (no drop)	438362025.885		3UhCN87g8smLdgxL9vWiBP8kvmdNTU48EVE12iyYTVkr1gFxZYCgcEBLH94a2sb5gua1nEMVBiug9qttxYL9h1UE
3	11:22:00	19200000.000	419162025.885		3nzsonfsv385nzeqBLrVhFVeQmv2ctePJVWce7CaUfFK2iAUJzkW1yhLc1jPnVdrLPbxZeW1EqX4xd8tJpx9DTwf
4	11:22:03	0 (no drop)	419162025.885		5e7BDZcciu5AeggETm1qbyq6fbydkrKqWHMKdZ77u1cyJiYxYRBgutkXStYWxGeKWH6nEbH9f7Mq7srRHV4m8uqb
5	11:22:08	0 (no drop)	419162025.885	YES	3sDvpmV8aumNmt6rjDZ5tH48CiexwgiDVPFeZdUPmSMerzw9Uo2Jpt9dvkJYbXNAST5yeaFDL4AoPKvgZd8ikqjX
6	11:22:11	0 (no drop)	419162025.885		2zNe8rAqose9T7Fniu5r7eo6WHeP6roTKcsCX7p3tTRGoqqtTsmbUZgQMsVGCWiwxe81TECzorWgxBgUGGhaUNj9
7	11:22:13	0 (no drop)	419162025.885	YES	2VnnYnUMVcueaRysReqEWzdT6TzR3wVV3WwnNpJJFyoCFn5znaf6BJBLdTiQub51qdH3qUxC5PKXdXMPEL5EJSQM
8	11:22:14	9600000.000	409562025.885		2yLQE4eAfDjWBQvxSTRnk6L2MkSyZy2ZhCDQhzwS94LsWTZwRtDjkBv82wvhVazSww6pfGb2nHeRyMRNVwDoe7Vj
9	11:22:17	9600000.000	399962025.885		4vU7ByHFu9VCQLFFQuEUNnd7St1V5sgQKmLfFwaLvDPtsSboEfwQH5JZhv6tDzh1cdrTXNh5T8dq5H4fEbwSRe4T
10	11:22:19	0 (no drop)	399962025.885		48fdqYJnUf99XhFD1oXAhoVHEKKeH8mVPqiNZrs9gSFYadMY2CTa42uqUXaE9yFzQyFgkDRA9YiKsjeCjbjXJWao
